artist,name,song,person,sentence,year,highestRank
A Boogie Wit da Hoodie Featuring Kodak Black,Scottie,Drowning,True,"A Boogie, I'm goin Scottie, nigga drop my deposit",2017.0,38.0
A Boogie Wit da Hoodie Featuring Kodak Black,Wayne,Drowning,True,I'm with RJ but I call him Wayne 'cause he's a shotta,2017.0,38.0
Huncho Jack Featuring Offset,Montana,Dubai Shit,True,I played with Montana and Rice before,2018.0,83.0
Kendrick Lamar,Anthony,Duckworth.,True,Anthony was the oldest of seven,2017.0,63.0
Kendrick Lamar,Lamar,Duckworth.,True,"Oh Lamar, Hail Mary and marijuana, times is hard",2017.0,63.0
Kendrick Lamar,Mary,Duckworth.,True,"Oh Lamar, Hail Mary and marijuana, times is hard",2017.0,63.0
Kendrick Lamar,Robert,Duckworth.,True,He came from the streets the Robert Taylor Homes,2017.0,63.0
Luis Fonsi & Demi Lovato,Demi,Echame La Culpa,True,Demi?,2017.0,47.0
Enrique Iglesias Featuring Bad Bunny,Enrique,El Bano,True,Enrique Iglesias,2018.0,98.0
Kendrick Lamar,Kenny,Element.,True,New Kung Fu Kenny,2017.0,100.0
Drake,Aria,Elevate,True,Freddy got the Aria setup like it's a Freaknik,2018.0,14.0
Drake,Braden,Elevate,True,Couldn't picture wifin' Braden when I was pumpin' gas on road trips to go from Cincinnati on to Dayton,2018.0,14.0
Drake,Dayton,Elevate,True,Couldn't picture wifin' Braden when I was pumpin' gas on road trips to go from Cincinnati on to Dayton,2018.0,14.0
Drake,Freddy,Elevate,True,Freddy got the Aria setup like it's a Freaknik,2018.0,14.0
Drake,Georgie,Elevate,True,Georgie got me up a hunnid thousand for the weekend,2018.0,14.0
Anuel AA & Romeo Santos,Ella,Ella Quiere Beber,True,"Ella quiere beber, ella quiere bailar",2018.0,61.0
Anuel AA & Romeo Santos,Kelly,Ella Quiere Beber,True,Kelly yo la,2018.0,61.0
Anuel AA & Romeo Santos,Romeo,Ella Quiere Beber,True,Bailando en un hilito de Romeo,2018.0,61.0
Wisin Featuring Ozuna,Alexander,Escapate Conmigo,True,Alexander McQueen o Moschino,2017.0,63.0
Logic,Anthony,Everybody,True,"A box, under the bridge, like Anthony Kiedis?",2017.0,59.0
Logic,Bobby,Everybody,True,Okay now picture little Bobby just a youngin' runnin' round,2017.0,59.0
Kodak Black,Derek,Everything 1K,True,Sliding base like I'm Derek Jeter,2017.0,84.0
Future Featuring YG,Mona Lisa,Extra Luv,True,"Chinchilla, turn that bitch to Mona Lisa",2017.0,99.0
Future,Frank,F&N,True,"I'm Frank Lucas and Mad Max, let's go",2019.0,83.0
Future,Jacob,F&N,True,"ATL Jacob, ATL Jacob",2019.0,83.0
Future,Max,F&N,True,"I'm Frank Lucas and Mad Max, let's go",2019.0,83.0
Future,Ray,F&N,True,"Hit 'em with that chopper first, Ray J",2019.0,83.0
Future,Richard,F&N,True,I just put some VVs in a Richard face,2019.0,83.0
Calvin Harris Featuring Kehlani & Lil Yachty,Lani,Faking It,True,"Go Lani, go Lani",2017.0,100.0
Eminem,Drake,Fall,True,"Next minute, they get they style from Migos, then they copy Drake",2018.0,12.0
Eminem,Earl,Fall,True,"Get Earl, the Hooded Sweater, whatever his name is to help you put together some words, more than two letters",2018.0,12.0
Eminem,Elvis,Fall,True,Or I'll show you an Elvis clone,2018.0,12.0
Eminem,Jamar,Fall,True,"And as far as Lord Jamar, you better leave me the hell alone",2018.0,12.0
Eminem,Jay,Fall,True,"One minute, they're mocking Jay",2018.0,12.0
Eminem,Kathy,Fall,True,"Kathy Griffin stackin' ammunition, slap the clip and cock it back on competition, this is how I shot a head",2018.0,12.0
